episode_id,overall,episode_code,season,episode,episode_title,director_id,episode_writer_id,original_air_date,viewer_count
1,1,S01E01,1,1,Pilot,1,1,2009-05-19,9.62
2,2,S01E02,1,2,Showmance,1,1,2009-09-09,7.5
91,91,S05E03,5,3,The Quarterback,3,1,2013-10-10,7.39
100,100,S05E12,5,12,100,5,1,2014-03-18,2.8
120,120,S06E12,6,12,2009,5,1,2015-03-20,2.69
109,109,S06E01,6,1,Loser Like Me,11,1,2015-01-09,2.34
121,121,S06E13,6,13,Dreams Come True,11,1,2015-03-20,2.54
7,7,S01E07,1,7,Throwdown,1,3,2009-10-14,7.65
37,37,S02E15,2,15,Sexy,1,3,2011-03-08,11.92
4,4,S01E04,1,4,Preggers,3,3,2009-09-23,6.63
10,10,S01E10,1,10,Ballad,3,3,2009-11-18,7.36
13,13,S01E13,1,13,Sectionals,3,3,2009-12-09,8.13
22,22,S01E22,1,22,Journey to Regionals,3,3,2010-06-08,10.92
44,44,S02E22,2,22,New York,3,3,2011-05-24,11.8
66,66,S03E22,3,22,Goodbye,3,3,2012-05-22,7.46
101,101,S05E13,5,13,New Directions,3,3,2014-03-25,2.68
16,16,S01E16,1,16,Home,5,3,2010-04-27,12.18
31,31,S02E09,2,9,Special Education,5,3,2010-11-30,11.68
79,79,S04E13,4,13,Diva,5,3,2013-02-07,6.03
25,25,S02E03,2,3,Grilled Cheesus,7,3,2010-10-05,11.2
40,40,S02E18,2,18,Born This Way,7,3,2011-04-26,8.62
68,68,S04E02,4,2,Britney 2.0,7,3,2012-09-20,7.46
19,19,S01E19,1,19,Dream On,8,3,2010-05-18,11.47
45,45,S03E01,3,1,The Purple Piano Project,9,3,2011-09-20,9.21
54,54,S03E10,3,10,Yes/No,9,3,2012-01-17,7.5
28,28,S02E06,2,6,Never Been Kissed,11,3,2010-11-09,10.99
89,89,S05E01,5,1,"Love, Love, Love",11,3,2013-09-26,5.06
87,87,S04E21,4,21,Wonder-ful,18,3,2013-05-02,5.19
111,111,S06E03,6,3,Jagged Little Tapestry,19,3,2015-01-16,1.98
15,15,S01E15,1,15,The Power of Madonna,1,2,2010-04-20,12.98
20,20,S01E20,1,20,Theatricality,1,2,2010-05-25,11.37
24,24,S02E02,2,2,Britney/Brittany,1,2,2010-09-28,13.51
3,3,S01E03,1,3,Acafellas,2,2,2009-09-16,6.69
46,46,S03E02,3,2,I Am Unicorn,3,2,2011-09-27,8.6
67,67,S04E01,4,1,The New Rachel,3,2,2012-09-13,7.41
6,6,S01E06,1,6,Vitamin D,4,2,2009-10-07,7.28
12,12,S01E12,1,12,Mattress,4,2,2009-12-02,8.15
9,9,S01E09,1,9,Wheels,5,2,2009-11-11,7.35
86,86,S04E20,4,20,Lights Out,5,2,2013-04-25,5.24
18,18,S01E18,1,18,Laryngitis,7,2,2010-05-11,11.57
55,55,S03E11,3,11,Michael,7,2,2012-01-31,9.07
70,70,S04E04,4,4,The Break Up,7,2,2012-10-04,6.07
63,63,S03E19,3,19,Prom-asaurus,9,2,2012-05-08,6.67
35,35,S02E13,2,13,Comeback,11,2,2011-02-15,10.53
38,38,S02E16,2,16,Original Song,11,2,2011-03-15,11.15
43,43,S02E21,2,21,Funeral,11,2,2011-05-17,8.97
110,110,S06E02,6,2,Homecoming,11,2,2015-01-09,2.34
30,30,S02E08,2,8,Furt,12,2,2010-11-23,10.41
34,34,S02E12,2,12,Silly Love Songs,13,2,2011-02-08,11.58
41,41,S02E19,2,19,Rumours,14,2,2011-05-03,8.85
78,78,S04E12,4,12,Naked,17,2,2013-01-31,5.48
102,102,S05E14,5,14,New New York,20,2,2014-04-01,2.59
29,29,S02E07,2,7,The Substitute,1,4,2010-11-16,11.7
5,5,S01E05,1,5,The Rhodes Not Taken,2,4,2009-09-30,7.4
14,14,S01E14,1,14,Hell-O,3,4,2010-04-13,13.66
23,23,S02E01,2,1,Audition,3,4,2010-09-21,12.45
33,33,S02E11,2,11,The Sue Sylvester Shuffle,3,4,2011-02-06,28.32
80,80,S04E14,4,14,I Do,3,4,2013-02-14,5.13
8,8,S01E08,1,8,Mash-Up,4,4,2009-10-21,7.15
17,17,S01E17,1,17,Bad Reputation,4,4,2010-05-04,11.62
21,21,S01E21,1,21,Funk,4,4,2010-06-01,9.02
56,56,S03E12,3,12,The Spanish Teacher,5,4,2012-02-07,7.81
11,11,S01E11,1,11,Hairography,6,4,2009-11-25,6.08
32,32,S02E10,2,10,A Very Glee Christmas,7,4,2010-12-07,11.07
47,47,S03E03,3,3,Asian F,7,4,2011-10-04,8.42
26,26,S02E04,2,4,Duets,9,4,2010-10-12,11.36
36,36,S02E14,2,14,Blame It on the Alcohol,9,4,2011-02-22,10.58
42,42,S02E20,2,20,Prom Queen,9,4,2011-05-10,9.29
69,69,S04E03,4,3,Makeover,9,4,2012-09-27,5.79
88,88,S04E22,4,22,All or Nothing,11,4,2013-05-09,5.92
103,103,S05E15,5,15,Bash,11,4,2014-04-08,2.78
39,39,S02E17,2,17,A Night of Neglect,12,4,2011-04-19,9.8
64,64,S03E20,3,20,Props,17,4,2012-05-15,6.09
73,73,S04E07,4,7,Dynamic Duets,17,4,2012-11-22,4.62
90,90,S05E02,5,2,Tina in the Sky with Diamonds,17,4,2013-10-03,4.42
112,112,S06E04,6,4,"The Hurt Locker, Part One",17,4,2015-01-23,1.82
113,113,S06E05,6,5,"The Hurt Locker, Part Two",21,4,2015-01-30,1.85
57,57,S03E13,3,13,Heart,3,6,2012-02-14,6.99
65,65,S03E21,3,21,Nationals,9,6,2012-05-15,6.03
48,48,S03E04,3,4,Pot o' Gold,10,6,2011-11-01,7.47
71,71,S04E05,4,5,The Role You Were Born to Play,3,8,2012-11-08,5.68
50,50,S03E06,3,6,Mash Off,9,8,2011-11-15,7.08
59,59,S03E15,3,15,Big Brother,9,8,2012-04-10,6.76
105,105,S05E17,5,17,Opening Night,9,8,2014-04-22,2.45
81,81,S04E15,4,15,Girls (and Boys) On Film,17,8,2013-03-07,6.72
93,93,S05E05,5,5,The End of Twerk,18,8,2013-11-14,4.22
114,114,S06E06,6,6,What the World Needs Now,21,8,2015-02-06,1.58
75,75,S04E09,4,9,Swan Song,3,13,2012-12-06,5.43
94,94,S05E06,5,6,Movin' Out,3,7,2013-11-21,4.09
49,49,S03E05,3,5,The First Time,11,7,2011-11-08,6.91
58,58,S03E14,3,14,On My Way,11,7,2012-02-21,7.46
82,82,S04E16,4,16,Feud,11,7,2013-03-14,5.37
72,72,S04E06,4,6,Glease,16,7,2012-11-15,5.22
106,106,S05E18,5,18,The Back-Up Plan,17,7,2014-04-29,2.41
108,108,S05E20,5,20,The Untitled Rachel Berry Project,3,9,2014-05-13,1.87
76,76,S04E10,4,10,"Glee, Actually",10,9,2012-12-13,5.26
60,60,S03E16,3,16,Saturday Night Glee-ver,11,9,2012-04-17,6.23
84,84,S04E18,4,18,Shooting Star,11,9,2013-04-11,6.67
51,51,S03E07,3,7,I Kissed a Girl,13,9,2011-11-29,7.9
95,95,S05E07,5,7,Puppet Master,19,9,2013-11-28,2.84
115,115,S06E07,6,7,Transitioning,22,9,2015-02-13,1.81
85,85,S04E19,4,19,Sweet Dreams,4,10,2013-04-18,6.14
61,61,S03E17,3,17,Dance with Somebody,5,10,2012-04-24,6.9
52,52,S03E08,3,8,Hold On to Sixteen,11,10,2011-12-06,7.11
77,77,S04E11,4,11,Sadie Hawkins,11,10,2013-01-24,6.79
116,116,S06E08,6,8,A Wedding,11,10,2015-02-20,1.86
96,96,S05E08,5,8,Previously Unaired Christmas,18,10,2013-12-05,3.29
99,99,S05E11,5,11,City of Angels,4,16,2014-03-11,2.3
118,118,S06E10,6,10,The Rise and Fall of Sue Sylvester,24,16,2015-03-06,1.81
83,83,S04E17,4,17,Guilty Pleasures,9,12,2013-03-21,5.91
74,74,S04E08,4,8,Thanksgiving,11,12,2012-11-29,5.39
92,92,S05E04,5,4,A Katy or a Gaga,17,12,2013-11-07,4.01
104,104,S05E16,5,16,Tested,19,12,2014-04-15,2.44
27,27,S02E05,2,5,The Rocky Horror Glee Show,10,5,2010-10-26,11.76
97,97,S05E09,5,9,Frenemies,11,14,2014-02-25,2.99
117,117,S06E09,6,9,Child Star,23,14,2015-02-27,1.69
107,107,S05E19,5,19,"Old Dog, New Tricks",11,17,2014-05-06,2.1
53,53,S03E09,3,9,Extraordinary Merry Christmas,15,11,2011-12-13,7.13
62,62,S03E18,3,18,Choke,16,11,2012-05-01,6.01
98,98,S05E10,5,10,Trio,17,15,2014-03-04,2.68
119,119,S06E11,6,11,We Built This Glee Club,25,18,2015-03-13,2.02
