performer_id,performer_name
1,Hank Saunders
2,Sandy Ryerson
3,Mercedes Jones
4,Kurt Hummel
5,Tina Cohen-Chang
6,Rachel Berry
7,Artie Abrams
8,New Directions
9,Finn Hudson
10,Young Finn Hudson
11,Darren
12,Vocal Adrenaline
13,Will Schuester
14,McKinley High Glee Club â€“ 1993
15,Emma Pillsbury
16,Quinn Fabray
17,Santana Lopez
18,Brittany S. Pierce
19,Acafellas
20,Noah Puckerman ()
21,McKinley High football team
22,April Rhodes
23,New Directions males
24,New Directions females
25,Sue's Kids
26,Noah Puckerman
27,Sue Sylvester
28,Jane Addams Girls Choir
29,Haverbrook Deaf Choir
30,Jesse St. James
31,McKinley High Cheerios
32,Olivia Newton-John
33,Sean Fretthold
34,Bryan Ryan
35,Auditioning woman
36,Shelby Corcoran
37,New Directions males except Kurt Hummel
38,Howard Bamboo
39,Terri Schuester
40,Aural Intensity
41,Sam Evans
42,Sunshine Corazon
43,McKinley High Titans
44,church choir
45,Mike Chang
46,Carl Howell
47,Dalton Academy Warblers
48,Holly Holliday
49,New Directions except Rachel Berry
50,Doris Sylvester
51,The Hipsters
52,Blaine Anderson
53,k.d. lang
54,New Direction Males
55,pediatric patients
56,Lauren Zizes
57,Shannon Beiste
58,The Dalton Academy Warblers
59,mall flash mob
60,"Mercedes Jones,"
61,The AV club
62,Unnamed female a cappella group
63,Sugar Motta
64,The McKinley High Cheerios
65,Harmony
66,prospective NYADA applicants
67,"Artie Abrams,"
68,McKinley High females
69,The McKinley High Titans
70,New Directions Booty Camp
71,Rory Flanagan
72,New Directions except Santana Lopez
73,The Troubletones
74,Sharks
75,Jets
76,The Unitards
77,New Directions Girls
78,Sebastian SmyThe
79,The Dalton Cellists
80,David Martinez
81,Hiram Berry
82,LeRoy Berry
83,Joe Hart
84,Mercedes' church choir
85,The Sugar Shack patrons
86,The Golden Goblets
87,The Troubletones as New Directions
88,Cooper Anderson
89,1993 McKinley High Glee Club
90,The New Directions band
91,"Wade ""Unique"" Adams"
92,New Directions except Kurt Hummel
93,Carmen Tibideaux's pupil
94,"Quinn Fabray,"
95,The Portland Scale Blazers
96,"Mike Chang,"
97,Burt Hummel
98,Graduating members of New Directions
99,New Directions underclassmen
100,Brody Weston
101,"Unique ""Wade"" Adams"
102,Cassandra July
103,NYADA students
104,Stoner Brett Bukowski
105,Jake Puckerman
106,Beatrice McClaine
107,Marley Rose
108,Kitty Wilde
109,McKinley's female gym class
110,Isabelle Wright
111,Ryder Lynn
112,Hunter Clarington
113,Isabelle's party guests
114,The Rosedale Mennonites
115,Adam's Apples
116,"Ryder Lynn,"
117,Louisville cheerleaders
118,The wedding congregation
119,Betty Pillsbury
120,escorts
121,female clients
122,fraternity partygoers
123,original New Directions
124,Frida Romero
125,The Waffletoots
126,The Hoosierdaddies
127,The McKinley High marching band
128,Haverbrook School for The Deaf
129,Spotlight Diner co-workers
130,New Directions Males except Artie Abrams
131,Dani
132,"Elliott ""Starchild"" Gilbert"
133,Paolo San Pablo
134,Bree
135,McKinley High students
136,Spotlight Diner patrons
137,employees
138,Pamela Lansbury
139,New Directions puppets
140,mall elves
141,Cody Tolentino
142,New Directions except Kitty Wilde
143,Funny Girl understudy auditionee
144,The Amazonians
145,Jean-Baptiste
146,Throat Explosion
147,"Kitty Wilde,"
148,original
149,current New Directions members
150,current
151,former McKinley High students
152,"Kurt Hummel,"
153,Beat Club Crew dancers
154,subway riders
155,Jessica
156,Julie
157,Vanessa
158,female admirers
159,June Dolloway
160,Maggie Banks
161,Lexington Home retirees
162,backup dancers
163,Charlie Darlene
164,female models
165,concert audience
166,New York citizens
167,Skylar
168,Clint
169,Roderick
170,New Directions alumni
171,Jane Hayward
172,Spencer Porter
173,Mason McCarthy
174,"Madison McCarthy,"
175,angel choir
176,alumni
177,transgender choir
178,Sheldon Beiste
179,Madison McCarthy
180,The wedding guests
181,Maribel Lopez
182,Whitney Pierce
183,Carole Hudson-Hummel
184,Pam Anderson
185,Myron Muskovitz
186,female backup dancers
187,The Falconers
188,gospel choir
189,schoolchildren
190,List of performers Will Schuester
191,Alistair
192,Terri Del Monico
193,Principal Figgins
194,Becky Jackson
195,Dave Karofsky
196,Emma Pillsbury-Schuester
197,Matt RuTherford
